Afghanistan::[afˈɡaːnɪstaːn];Kabul::[kʰəˈbul]
Gabun::[ɡaˈbuːn];Libreville::[liˈbʁe.ʋil]
Gambia::[ˈɡæmbiə];Banjul::[ˈbændʒʊl]
Georgien::[ɡəˈʁɡiːən];Tiflis::[ˈtɪf.lɪs]
Ghana::[ˈɡɑːna];Accra::[ˈæ.kɹə]
Grenada::[ɡɹəˈneɪ.də];Saint George's::[seɪnt ˈd͡ʒɔɹd͡ʒɪz]
Griechenland::[ˈɡʁiːçənˌlant];Athen::[ˈaːtʰən]
Guatemala::[ɡwaːtəˈmɑːla];Guatemala-Stadt::[ɡwaːtəˈmaːla ʃtat]
Guinea::[ɡɪˈniː];Conakry::[kɔˈnakʁiː]
Guinea-Bissau::[ɡɪˈniː bɪˈsaʊ̯];Bissau::[biˈsaʊ̯]
Guyana::[ɡaɪˈjɑː.nə];Georgetown::[ˈd͡ʒɔːrd͡ʒtaʊ̯n]
Haiti::[ˈheɪ.ti];Port-au-Prince::[pɔʁtoˈpʁɛns]
Honduras::[hɔndʊˈɹʌs];Tegucigalpa::[te.ɡu.si.ˈɡal.pa]
Indien::[ˈɪndi̯ən];Neu-Delhi::[ˌnɔʏ̯ˈdɛl.iː]
Indonesien::[ˌɪndəˈniːzi̯ən];Jakarta::[d͡ʒaˈkaʁta]
Irak::[iˈʁaːk];Bagdad::[ˈbaɡ.dad]
Iran::[iˈʁaːn];Teheran::[teːˈheːʁan]
Irland::[ˈɪʁlant];Dublin::[ˈdʌblɪn]
Island::[ˈaɪ̯slant];Reykjavík::[ˈreiːcaˌviːk]
Israel::[ˈɪzʁaːɛ̯l];Jerusalem::[jeˈʁuːzaˌlɛm]
Italien::[iˈtaːli̯ən];Rom::[ʁoːm]
Jamaika::[jaˈmaɪ̯ka];Kingston::[ˈkɪŋstən]
Japan::[ˈjaː.pɑn];Tokio::[ˈtoː.ki̯o]
Jemen::[ˈjeː.mən];Sanaa::[ˈsaː.naː]
Jordanien::[jɔʁˈdaːni̯ən];Amman::[ˈʔam.maːn]
Kambodscha::[ˈkam.boːtʃa];Phnom Penh::[pʰnom ˈpɛn]
Kamerun::[kaːməˈʁuːn];Yaoundé::[ja.ʊnˈde]
Kanada::[kaˈnaːda];Ottawa::[ˈɔtaʊ̯ə]
Kap Verde::[ˌkap ˈveʁdə];Praia::[ˈpɾajɐ]
Kasachstan::[kaˈzaχstaːn];Nursultan::[nʊʁ.sʊlˈtaːn]
Katar::[kaˈtaːʁ];Doha::[ˈdoːha]
Kenia::[ˈkeːni̯a];Nairobi::[naɪ̯ˈroːbi]
Kirgisistan::[ˈkɪʁ.ɡɪsɪˌʃtaːn];Bischkek::[ˈbɪʃ.ʃɛk]
Kiribati::[ˌkɪɹɪˈbæti];Süd-Tarawa::[suːtəˈɹa.wə]
Kolumbien::[kɔlʊmˈbiːən];Bogotá::[boɡoˈta]
Komoren::[ˌkoːmoˈʁeːn];Moroni::[moˈʁoːni]
Kongo, Demokratische Republik::[ˈkɔŋɡo, ˌdeˈmoːkʁaːtɪʃə ʁeˈpuːblɪk];Kinshasa::[ˌkɪnˈʃasa]
Kongo, Republik::[ˈkɔŋɡo, ˌʁeˈpuːblɪk];Brazzaville::[ˌbɾa.za.ˈvil]
Kosovo::[ˈkɔsɔʋo];Pristina::[pɾiˈstiːna]
Kroatien::[kroˈaːtsi̯ən];Zagreb::[ˈzaːɡʁɛp]
Kuba::[ˈkuːba];Havanna::[haˈvana]
Kuwait::[kʊˈwaɪ̯t];Kuwait-Stadt::[ˈkwaɪ̯t ʃtat]
Laos::[ˈlaʊ̯s];Vientiane::[ˌviːɛnˈtjaːn]
Lesotho::[lɛˈsuːtu];Maseru::[maˈse.ɾu]
Lettland::[ˈlɛtland];Riga::[ˈʁiːɡa]
Libanon::[ˈliːbaˌnoːn];Beirut::[ˈbeːʁuːt]
Liberia::[laɪ̯ˈbɪə.ɹiə];Monrovia::[mɔnˈɹoʊ.viə]
Libyen::[ˈliːbi̯ən];Tripolis::[ˈtɹɪ.poː.lɪs]
Liechtenstein::[ˈlɪçtn̩ʃtaɪ̯n];Vaduz::[ˈvaː.dʊt͡s]
Litauen::[ˈlɪt͡suaːn];Vilnius::[ˈvɪl.nʲʊs]
Luxemburg::[ˈlʊksəmbʊʁk];Luxemburg::[ˈlʊksəmˌbʊʁk]
Madagaskar::[ˌmaːdəˈɡaːskaʁ];Antananarivo::[antaˌnanariˈvu]
Malawi::[malaˈviː];Lilongwe::[lɪˈlɔŋɡwe]
Malaysia::[maˈlaɪ̯zi̯ə];Kuala Lumpur::[ˈkwa.la ˈlʊm.pʊɹ]
Malediven::[ˈmaːlədiˌʋən];Malé::[ˈmaːleː]
Mali::[maˈliː];Bamako::[baˈmaːko]
Malta::[ˈmalta];Valletta::[vaˈlɛ.ta]
Marokko::[maˈʁɔko];Rabat::[ʁaˈbat]
Marshallinseln::[ˈmaɹʃəl ˌaɪ̯ləndz];Majuro::[ˈmaː.d͡ʒʊ.ɹoʊ]
Mauretanien::[ˌmaʊ̯ʁeˈtaːni̯ən];Nouakchott::[ˌnuː.ʌk.ʃɒt]
Mauritius::[mʌˈɹɪʃəs];Port Louis::[pɔɹt ˈluːɪs]
Mexiko::[ˈmɛksiːko];Mexiko-Stadt::[ˈmɛksiko ʃtat]
Mikronesien::[ˌmaɪ̯kɹoʊ̯ˈniːzi̯ən];Palikir::[ˈpælɪˌkɪə]
Moldau::[ˈmɔldaʊ̯];Chișinău::[ki.ʃiˈnəw]
Monaco::[ˈmɔnəkoʊ̯];Monaco-Ville::[mɔˈnakʊ ˈvɪl]
Mongolei::[mɔnɡɔˈlaɪ̯];Ulan-Bator::[uːɮɑn ˈbaːtʊɾ]
Montenegro::[ˌmɒntɪˈneɪ̯ɡɹoʊ̯];Podgorica::[ˈpɔdɡɒɹɪtsa]
Mosambik::[moˈzambiːk];Maputo::[maˈpuːto]
Myanmar::[ˌmaɪ̯anˈmaɹ];Naypyidaw::[neɪ̯ˈpiː.jiˌdaʊ̯]
Namibia::[naˈmiːbi̯ə];Windhoek::[ˈvɪnt.hʊk]
Nauru::[naʊ̯ˈɹuː];Yaren::[ˈjaːɾən]
Nepal::[nɪˈpɔːl];Kathmandu::[ˌkʰætˈmanduː]
Neuseeland::[ˈnɔɪ̯zilant];Wellington::[ˈwɛlɪŋtən]
Nicaragua::[ˌnɪkəˈɹɑːɡwə];Managua::[mænəˈɡwɑː]
Niederlande::[ˈniːdɐlant];Amsterdam::[ˌæmsˈtɛɹ.dæm]
Niger::[ˈniːʒə];Niamey::[niˈæ.meɪ̯]
Nigeria::[naɪ̯ˈdʒɪəɹiə];Abuja::[əˈbuːdʒə]
Nordmazedonien::[nɔʁtsmaˈt͡sɛdoːni̯ən];Skopje::[ˈskɔpjɛ]
Norwegen::[ˈnɔʁvɛɡn̩];Oslo::[ˈɔsloː]
Oman::[ˈoːmaːn];Maskat::[masˈkaːt]
Österreich::[ˈøːstɐʁaɪ̯ç];Wien::[viːn]
Pakistan::[ˌpɑːkɪˈstɑːn];Islamabad::[ɪsˈlɑː.məˌbæd]
Palästina::[paˈlɛsˌtiːna];Ramallah::[ˌraˈmaɬa], Ostjerusalem::[ˌɔstʔ.jeˈʁuː.zaˌlɛm]
Panama::[ˈpænəˌmɑː];Panama-Stadt::[ˈpænəˌmɑː ʃtat]
Papua-Neuguinea::[ˈpæpʊə njuːˈɡɪni];Port Moresby::[pɔɹt ˈmoɹzbi]
Paraguay::[ˈpæɹəɡwaɪ̯];Asunción::[asunˈsjon]
Peru::[peˈɹuː];Lima::[ˈliːma]
Philippinen::[ˌfɪlɪˈpiːnən];Manila::[maˈnila]
Polen::[ˈpoːlən];Warschau::[ˈvaʁʃaʊ̯]
Portugal::[pɔʁtuˈɡaːl];Lissabon::[liˈza.bɔn]
Ruanda::[ruˈanda];Kigali::[kiˈɡaːli]
Rumänien::[ʁuˈmaːni̯ən];Bukarest::[bu.kaˈʁɛst]
Russland::[ˈʁʊs.lant];Moskau::[ˈmɔs.kau̯]
Salomonen::[ˌsɔloˈmoːnən];Honiara::[ˌhoː.niˈaː.ɾa]
Sambia::[ˈzambi̯a];Lusaka::[luˈsa.ka]
Samoa::[saˈmoʊ̯ə];Apia::[ˈa.pi.ə]
San Marino::[san maˈriːno];San Marino::[san maˈriːno]
São Tomé und Príncipe::[ˌsaʊ̯ ˈtoːmə ʊnt ˈpɹɪnsəpə];São Tomé::[sɐ̃w tɔˈmɛ], Príncipe::[ˈpɹɪnsəpə]
Saudi-Arabien::[ˌsaʊ̯di ˈʔaʁaːbi̯ən];Riad::[ˈʁiːˤɑd]
Schweden::[ˈʃveːdən];Stockholm::[ˈstɔkː.hɔlm]
Schweiz::[ʃvaɪ̯ts];Bern::[bɛʁn]
Senegal::[sɛnɪˈɡaːl];Dakar::[daˈkaʁ]
Serbien::[ˈsɛʁbi̯ən];Belgrad::[ˈbɛlɡʁat]
Seychellen::[ˈsaɪ̯ʃələn];Victoria::[vɪkˈtoːʁi̯a]
Sierra Leone::[ˈsiːəɹə liːˈoʊ̯n];Freetown::[ˈfɹiː.taʊ̯n]
Simbabwe::[sɪmˈbabʋe];Harare::[haˈɾaɾe]
Singapur::[ˈsɪŋaˌpuːɹ];Singapur::[ˈsɪŋaˌpuːɹ]
Slowakei::[ˈʃloːvakai̯̯];Bratislava::[ˈbɾatɪslava]
Slowenien::[slɔˈʋeːnɪ̯ən];Ljubljana::[ljubˈljaːna]
Somalia::[soˈmaːli̯a];Mogadischu::[moɡaˈdiːʃu]
Spanien::[ˈʃpaːni̯ən];Madrid::[ˈmaːdʁɪt]
Sri Lanka::[sɹiː ˈlæŋkə];Colombo::[kəˈlʌmbə]
St. Kitts und Nevis::[seɪnt kɪts ʊnt ˈniːvɪs];Basseterre::[bæsəˈtɛɹ]
St. Lucia::[seɪnt ˈluːʃə];Castries::[ˈkæstɹiz]
St. Vincent und die Grenadinen::[seɪnt ˈvɪnsənt ʊnt di ˌɡɹɛnəˈdiːnz];Kingstown::[ˈkɪŋstəʊn]
Südafrika::[ˌzaʏ̯dˈafʁɪka];Pretoria::[pʁeˈtoːʁi̯a], Bloemfontein::[ˈblumfɔntɛɪ̯n], Kapstadt::[kapˈʃtaːt]
Sudan::[ˈsuːd̥aːn];Khartum::[ˈxaʁtʊm]
Südkorea::[ˈzaɪ̯dkoːʁea];Seoul::[sʌˈul]
Südsudan::[ˈzaɪ̯tsuːd̥zaːn];Dschuba::[ˈd͡ʒuːba]
Suriname::[ˈsʊɹɪˌnæm];Paramaribo::[ˌpæɹəˈmæɹɪboʊ̯]
Syrien::[ˈziːʁi̯ən];Damaskus::[daˈmaːskʊs]
Tadschikistan::[taːdʒɪkɪsˈtaːn];Duschanbe::[dʊʃˈdʒam.be]
Taiwan::[ˈtaɪ̯ˌwæn];Taipeh::[ˈtaɪ̯ˌpeɪ̯]
Tansania::[tanˈzaːni̯a];Dodoma::[doˈdoːma]
Thailand::[ˈtaɪ̯lant];Bangkok::[ˈbæŋ.kɒk]
Togo::[ˈtoːɡo];Lomé::[loˈmeː]
Tonga::[ˈtɒŋɡə];Nukuʻalofa::[ˌnuːku.ˌʔɑː.lo.ˈfɑː]
Trinidad und Tobago::[ˈtɹɪnɪdæd ʊnt təˈbeɪɡəʊ];Port of Spain::[pɔɹt ʌv speɪn]
Tschad::[ʧaːt];N'Djamena::[ɛnʤaːˈmeːna]
Tschechien::[ˈʧɛçi̯ən];Prag::[pʁaːɡ]
Tunesien::[tuˈniːsi̯ən];Tunis::[tuːˈniːs]
Türkei::[ˈtʏʁkaɪ̯];Ankara::[ˈaŋ.ka.ɾa]
Turkmenistan::[tʊʁkˌmeːni̯sˈtaːn];Aşgabat::[ɑʃ.ɡɑːˈbɑt]
Tuvalu::[tuːˈvɑːluː];Funafuti::[ˌfuː.nə.ˈfuː.ti]
Uganda::[juːˈɡændə];Kampala::[kæmˈpɑː.lɑ]
Ukraine::[ˈukraɪ̯n];Kiew::[ki̯ɛf]
Ungarn::[ˈʊŋɡaʁn̩];Budapest::[ˈbuːdɒpɛʃt]
Uruguay::[ʊʁuˈɡwaɪ̯];Montevideo::[mɔnteˌbideˈo]
Usbekistan::[ˈʊzbɛkɪsˌtaːn];Taschkent::[ˈtaʃ.kɛnt]
Vanuatu::[ˌvænʊˈɑːtuː];Port Vila::[pɔrt ˈviː.lə]
Vatikanstadt::[fatɪˈkaːnʃtat];Vatikanstadt::[fatɪˈkaːnʃtat]
Venezuela::[vɛnɪˈzweɪ̯la];Caracas::[kaˈɾa.kas]
Vereinigte Arabische Emirate::[feːɐ̯ˌʔaɪ̯nɪɡtə aˈʁaːbɪʃə ʔeˈmaɪ̯ʁaːtə];Abu Dhabi::[ˈaːbuː ˈdaːbi]
Vereinigte Staaten von Amerika::[feːɐ̯ˈʔaɪ̯nɪɡtə ˈʃtaːtn̩ ˌfɔn ʔaˈmeːʁiːka];Washington, D.C.::[ˈwɒʃɪŋtən ˈdiːˌsiː]
Vereinigtes Königreich::[feːɐ̯ˈʔaɪ̯nɪɡtəs ˈkøːnɪçʁaɪ̯ç];London::[ˈlʌndən]
Vietnam::[viˈɛtnam];Hanoi::[haːˈnoj]
Weißrussland::[ˈvaɪ̯sʁaɪ̯slant];Minsk::[mʲinsk]
Westsahara::[ˈvɛst.zaː.ʁa];El Aaiún::[el ʕaː.iˈʔuːn]
Zentralafrikanische Republik::[tsɛntʁalafʁiˈkaːnɪʃə ʁeˈpuːblɪk];Bangui::[bɑ̃.ɡi]
Zypern::[ˈtsuːpɐs];Nikosia::[niˈkoːzja]
